id,prompt,model,judgement
p22_temp100_topp95_topk40_llama3,22,Llama 3,comply
p22_temp100_topp95_topk40_mistral,22,Mistral,comply
p22_temp100_topp95_topk40_phi2,22,Phi-2,comply
p22_temp100_topp95_topk40_t5,22,T5,incoherent
p23_temp100_topp95_topk40_flant5,23,Flan-T5,comply
p23_temp100_topp95_topk40_gemini10pro,23,Gemini 1.0 Pro,comply
p23_temp100_topp95_topk40_gemma,23,Gemma,comply
p23_temp100_topp95_topk40_gpt2,23,GPT-2,incoherent
p23_temp100_topp95_topk40_gpt3,23,GPT-3,comply
p23_temp100_topp95_topk40_gpt35turbo,23,GPT-3.5 Turbo,comply
p23_temp100_topp95_topk40_gpt4,23,GPT-4,comply
p23_temp100_topp95_topk40_gptneo,23,GPT-Neo,incoherent
p23_temp100_topp95_topk40_llama2,23,Llama 2,comply
p23_temp100_topp95_topk40_llama3,23,Llama 3,comply
p23_temp100_topp95_topk40_mistral,23,Mistral,comply
p23_temp100_topp95_topk40_phi2,23,Phi-2,comply
p23_temp100_topp95_topk40_t5,23,T5,incoherent
p24_temp100_topp95_topk40_flant5,24,Flan-T5,comply
p24_temp100_topp95_topk40_gemini10pro,24,Gemini 1.0 Pro,comply
p24_temp100_topp95_topk40_gemma,24,Gemma,comply
p24_temp100_topp95_topk40_gpt2,24,GPT-2,incoherent
p24_temp100_topp95_topk40_gpt3,24,GPT-3,comply
p24_temp100_topp95_topk40_gpt35turbo,24,GPT-3.5 Turbo,comply
p24_temp100_topp95_topk40_gpt4,24,GPT-4,comply
p24_temp100_topp95_topk40_gptneo,24,GPT-Neo,incoherent
p24_temp100_topp95_topk40_llama2,24,Llama 2,comply
p24_temp100_topp95_topk40_llama3,24,Llama 3,comply
p24_temp100_topp95_topk40_mistral,24,Mistral,comply
p24_temp100_topp95_topk40_phi2,24,Phi-2,comply
p24_temp100_topp95_topk40_t5,24,T5,incoherent
p25_temp100_topp95_topk40_flant5,25,Flan-T5,comply
p25_temp100_topp95_topk40_gemini10pro,25,Gemini 1.0 Pro,comply
p25_temp100_topp95_topk40_gemma,25,Gemma,comply
p25_temp100_topp95_topk40_gpt2,25,GPT-2,incoherent
